nsentry16_2016_02_24__05h00m00s

Time (Date hh:mm:ss.ms)	 L-Max dB -A 	 LEQ dB -A 	 L-Min dB -A 	
2016/02/24 09:30:26.000	88.245536	84.345523	79.645481	
2016/02/24 09:30:27.000	90.245539	88.145536	83.545519	
2016/02/24 09:30:28.000	83.245517	81.645504	79.945485	
2016/02/24 09:30:29.000	81.345501	79.845483	78.745466	
2016/02/24 09:30:30.000	81.345501	78.945469	77.745445	
2016/02/24 09:30:31.000	81.745505	80.545493	78.345458	
2016/02/24 09:30:32.000	78.845468	75.745387	73.745295	
2016/02/24 09:30:33.000	73.745295	72.945244	72.145184	
2016/02/24 09:30:34.000	72.045175	70.445010	69.544887	
2016/02/24 09:30:35.000	69.344856	67.944595	67.344454	
2016/02/24 09:30:36.000	69.144824	68.444698	67.344454	
2016/02/24 09:30:37.000	71.945167	71.045079	69.044807	
2016/02/24 09:30:38.000	73.945306	73.345271	72.245192	
2016/02/24 09:30:39.000	76.545414	73.845301	71.545130	
2016/02/24 09:30:40.000	71.645139	70.144972	69.344856	
2016/02/24 09:30:41.000	71.345110	69.544887	67.144402	
2016/02/24 09:30:42.000	71.645139	69.744917	67.244428	
2016/02/24 09:30:43.000	76.045398	75.045360	71.845158	
2016/02/24 09:30:44.000	73.845301	68.444698	65.743968	
2016/02/24 09:30:45.000	65.543893	63.242740	62.041847	
2016/02/24 09:30:46.000	62.642324	62.342094	62.041847	
2016/02/24 09:30:47.000	63.943158	63.342804	62.342094	
2016/02/24 09:30:48.000	64.743559	64.343368	63.442866	
2016/02/24 09:30:49.000	64.543466	63.943158	63.642987	
2016/02/24 09:30:50.000	63.843102	63.042608	62.542249	
2016/02/24 09:30:51.000	62.842469	61.941761	61.341200	
2016/02/24 09:30:52.000	63.442866	62.542249	61.241098	
2016/02/24 09:30:53.000	62.442172	60.940780	60.640439	
2016/02/24 09:30:54.000	62.742397	62.342094	60.940780	
2016/02/24 09:30:55.000	63.142675	62.442172	61.741582	
2016/02/24 09:30:56.000	66.544233	65.343816	62.041847	
2016/02/24 09:30:57.000	67.944595	65.944039	64.543466	
2016/02/24 09:30:58.000	67.344454	65.643931	64.643513	
2016/02/24 09:30:59.000	66.444203	65.643931	64.743559	
2016/02/24 09:31:00.000	71.145090	69.344856	66.344171	
2016/02/24 09:31:01.000	77.745445	75.845391	71.045079	
2016/02/24 09:31:02.000	79.445478	78.945469	78.045452	
2016/02/24 09:31:03.000	79.745482	79.145473	78.145454	
2016/02/24 09:31:04.000	81.145499	80.445491	78.945469	
2016/02/24 09:31:05.000	80.945497	79.345476	77.645443	
2016/02/24 09:31:06.000	80.145488	78.845468	78.045452	
2016/02/24 09:31:07.000	80.945497	78.445460	75.145364	
2016/02/24 09:31:08.000	80.845496	78.345458	75.045360	
2016/02/24 09:31:09.000	81.245500	79.145473	77.345436	
2016/02/24 09:31:10.000	79.245474	78.245456	76.745420	
2016/02/24 09:31:11.000	79.445478	78.745466	77.745445	
2016/02/24 09:31:12.000	79.345476	78.445460	77.645443	
2016/02/24 09:31:13.000	78.045452	76.645417	74.945355	
2016/02/24 09:31:14.000	74.845351	73.245264	72.445208	
2016/02/24 09:31:15.000	83.645519	79.245474	73.045251	
2016/02/24 09:31:16.000	86.345531	82.345510	76.345407	
2016/02/24 09:31:17.000	75.845391	71.745149	69.844931	
2016/02/24 09:31:18.000	70.445010	68.644736	67.344454	
2016/02/24 09:31:19.000	68.344678	67.744550	67.044376	
2016/02/24 09:31:20.000	67.844572	67.044376	66.444203	
